Statistical profiling result from isolate-0x128008000-42789-v8.log, (7305 ticks, 988 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^clone_ /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:7485:16
      1    0.0%    0.0%  Function: ^assertNotComplex /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-backend-cpu/dist/tf-backend-cpu.node.js:222:26
      1    0.0%    0.0%  Function: ^add_ /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:12016:14
      1    0.0%    0.0%  Function: ^addChunk node:internal/streams/readable:304:18
      1    0.0%    0.0%  Function: ^__read /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:151:16
      1    0.0%    0.0%  Function: ^Tensor.throwIfDisposed /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:3825:49
      1    0.0%    0.0%  Function: ^Socket._writeGeneric node:net:791:42
      1    0.0%    0.0%  Function: ^NodeJSKernelBackend.executeSingleInput /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-node/dist/nodejs_kernel_backend.js:202:65
      1    0.0%    0.0%  Function: ^Environment.get /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:1034:42
      1    0.0%    0.0%  Function: ^Engine.removeDataId /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4814:46
      1    0.0%    0.0%  Function: ^Engine.nextTensorId /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4460:46
      1    0.0%    0.0%  Function: ^Engine.makeTensorFromTensorInfo /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4760:58
      1    0.0%    0.0%  Function: ^Engine.makeTensor /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4722:44
      1    0.0%    0.0%  Function: ^Engine.endScope /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4990:42
      1    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/roboflow-node/roboflow.js:2:112564
      1    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-node/dist/kernels/FusedConv2D.js:45:36
      1    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:5202:31
      1    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4625:43
      1    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4591:56
      1    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4440:40
      1    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:29926:34
      1    0.0%    0.0%  Function: ^<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:28975:53

 [C++]:
   ticks  total  nonlib   name
   2339   32.0%   33.1%  T ___bsdthread_terminate
   1204   16.5%   17.0%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
    979   13.4%   13.9%  T _mach_port_insert_member
    378    5.2%    5.3%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    238    3.3%    3.4%  t v8impl::(anonymous namespace)::FunctionCallbackWrapper::Invoke(v8::FunctionCallbackInfo<v8::Value> const&)
    210    2.9%    3.0%  T _posix_spawnattr_setflags
    139    1.9%    2.0%  T _connect$NOCANCEL
     44    0.6%    0.6%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
     33    0.5%    0.5%  t __os_nospin_lock_lock_slow
     32    0.4%    0.5%  T _sigprocmask
     29    0.4%    0.4%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     27    0.4%    0.4%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     27    0.4%    0.4%  T node::binding::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
     14    0.2%    0.2%  t node::Buffer::(anonymous namespace)::CreateFromString(v8::FunctionCallbackInfo<v8::Value> const&)
     13    0.2%    0.2%  T __kernelrpc_mach_port_move_member_trap
     12    0.2%    0.2%  t __os_nospin_lock_unlock_slow
     10    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.1%    0.1%  T __kernelrpc_mach_port_get_refs
      9    0.1%    0.1%  T _mach_timebase_info_trap
      9    0.1%    0.1%  T ___libplatform_init
      7    0.1%    0.1%  T _os_unfair_recursive_lock_lock_with_options
      6    0.1%    0.1%  t __os_once_gate_wait
      5    0.1%    0.1%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      5    0.1%    0.1%  T __os_semaphore_dispose
      4    0.1%    0.1%  T _mach_port_insert_right
      3    0.0%    0.0%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  T _task_restartable_ranges_register
      3    0.0%    0.0%  T _napi_get_element
      2    0.0%    0.0%  t __pthread_mutex_droplock
      2    0.0%    0.0%  t ___pfz_setup
      2    0.0%    0.0%  T node_napi_env__::can_call_into_js() const
